SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
IT 서비스,6.73,2.05,1.85,1.62,1.76,1.79,1.52,1.55,1.51,1.39,1.36,1.31,1.38,47.94,17.81,16.25,15.69,14.38,18.27,15.96,17.48,20.6,23.53,24.03,25.23,26.7
건설,0.77,0.66,0.66,0.59,0.57,0.58,0.53,0.52,0.49,0.46,0.44,0.39,0.44,19.26,11.71,11.76,10.47,10.18,10.83,9.98,9.8,9.28,7.02,6.65,5.86,6.67
금속,0.81,0.77,0.76,0.68,0.65,0.65,0.79,0.68,0.63,0.87,0.83,0.82,0.81,16.83,8.38,6.11,5.99,6.63,9.33,13.19,11.38,10.56,17.31,15.86,13.78,12.22
금융,1.13,0.36,0.42,0.53,1.04,2.18,2.71,2.65,2.31,2.76,2.49,2.93,3.07,15.43,1.38,1.74,2.18,4.27,86.86,146.02,98.09,81.88,254.18,49.89,48.01,56.08
기계·장비,2.41,1.76,1.66,1.36,1.45,1.55,1.54,1.41,1.44,1.62,1.68,1.77,2.2,17.27,18.82,17.72,14.53,15.56,17.78,22.16,22.19,22.47,54.9,45.88,46.68,48.36
기타,9.53,11.13,11.13,11.13,11.13,54.94,54.94,54.94,5.44,214.39,214.39,214.39,214.39,66.4,,,,,,,,,,,,
기타금융,0.58,0.47,0.4,0.41,0.44,0.39,0.4,0.43,0.51,0.5,0.56,0.6,0.55,6.79,5.47,4.47,5.02,4.93,4.41,4.74,4.89,5.74,6.49,7.3,7.88,7.2
기타제조,0.96,0.77,0.92,0.82,0.93,0.72,0.62,0.57,0.61,0.7,0.75,0.71,0.71,9.75,7.08,6.49,5.87,6.1,19.23,19.41,14.85,13.63,5.56,5.96,5.66,5.66
"농업, 임업 및 어업",0.76,0.79,0.65,0.56,0.59,0.56,0.54,0.51,0.51,0.5,0.47,0.45,0.46,26.15,7.47,5.92,5.73,5.71,11.65,9.98,9.57,9.71,9.08,9.32,8.67,7.95
보험,0.35,0.36,0.31,0.33,0.33,0.53,0.56,0.57,0.66,0.37,0.4,0.43,0.38,8.97,7.72,7.43,7.62,7.82,7.42,7.84,8.02,9.33,7.67,8.38,8.42,8.46
부동산,0.79,0.91,0.75,0.67,0.81,0.67,0.55,0.56,0.52,0.4,0.42,0.34,0.31,12.87,7.92,6.83,5.96,6.06,3.98,4.11,5.2,4.47,2.88,2.23,1.87,1.86
비금속,1.05,0.91,0.69,0.6,0.56,0.61,0.6,0.6,0.58,0.58,0.62,0.62,0.64,10.79,14.38,11.95,10.02,10.98,11.17,10.7,11.04,10.63,7.85,7.97,7.54,6.68
섬유·의류,0.98,1.72,1.38,1.1,1.07,0.89,0.91,0.93,0.86,1.01,0.91,0.88,0.78,11.68,15.24,14.11,15.63,15.37,11.73,9.41,7.89,6.24,5.99,5.26,5.09,5.96
오락·문화,4.23,3.35,2.4,2.04,2.71,3.6,3.79,3.32,2.73,2.58,2.2,2.42,2.88,94.71,63.01,45.1,38.27,50.91,50.75,53.21,47.41,38.75,22.11,18.23,20.1,24.2
운송·창고,2.05,1.34,1.07,0.96,1.0,0.46,0.43,0.48,0.49,0.55,0.57,0.57,0.63,271.29,3.16,2.62,2.34,2.51,2.71,2.83,2.78,2.86,10.18,10.59,10.48,10.77
운송장비·부품,1.01,0.94,0.91,0.81,0.98,1.41,1.98,1.8,1.84,2.2,2.22,2.35,3.36,21.64,9.54,10.05,8.73,9.07,8.25,8.63,8.32,8.62,14.0,17.88,21.55,27.92
유통,0.7,0.62,0.63,0.64,0.61,0.67,0.64,0.71,0.89,0.68,0.7,0.59,0.58,17.77,11.47,11.76,11.81,11.42,8.73,8.43,9.29,11.7,10.57,10.81,9.18,8.99
은행,0.34,0.32,0.28,0.31,0.29,0.28,0.29,0.32,0.36,0.34,0.35,0.37,0.38,5.39,3.8,3.3,3.7,3.51,3.06,3.2,3.51,3.99,4.28,4.4,4.58,4.81
음식료·담배,1.21,1.09,1.08,1.23,1.17,1.05,1.06,1.11,1.13,1.09,1.22,1.39,1.28,10.16,11.81,10.5,11.87,11.33,9.89,10.04,10.48,10.68,11.27,12.62,14.42,13.25
의료·정밀기기,4.59,2.6,2.57,2.49,2.68,3.59,3.5,2.77,2.96,3.86,3.8,3.88,3.92,30.98,25.97,22.04,19.71,25.18,22.38,29.41,31.12,28.62,38.88,44.0,43.72,48.13
일반서비스,6.23,4.32,4.61,3.86,3.96,4.97,4.49,4.93,5.8,7.79,10.04,7.99,8.7,16.61,15.22,13.8,14.02,14.04,9.77,9.87,10.54,10.46,10.82,10.37,10.38,12.28
전기·가스,0.21,0.23,0.21,0.19,0.19,0.3,0.3,0.28,0.34,0.37,0.36,0.39,0.38,7.22,3.79,3.43,3.17,2.74,1.53,1.44,1.39,1.55,2.65,2.84,2.93,2.77
전기·가스·수도,1.82,2.16,1.98,1.77,1.4,1.29,1.1,1.29,1.19,1.2,1.21,1.14,1.0,27.89,41.66,38.19,34.1,26.99,19.42,16.56,19.29,17.78,19.89,20.15,18.91,16.53
전기·전자,1.86,1.49,1.34,1.35,1.41,1.34,1.37,1.4,1.47,1.52,1.47,1.08,1.07,19.13,11.28,10.13,10.22,10.62,8.42,8.65,8.82,9.69,37.12,35.84,26.45,26.19
제약,6.28,5.06,5.84,5.78,5.35,5.3,5.93,5.12,5.93,4.79,4.76,5.29,6.73,127.75,52.32,52.21,46.82,47.98,48.91,65.41,51.53,52.57,63.85,76.62,81.94,79.51
종이·목재,0.86,0.83,0.67,0.62,0.62,0.54,0.47,0.48,0.61,0.47,0.45,0.4,0.4,5.09,9.39,7.88,6.9,7.12,5.21,4.71,4.33,4.64,5.24,4.62,5.08,4.75
증권,0.74,0.48,0.39,0.38,0.4,0.42,0.41,0.42,0.54,0.47,0.48,0.5,0.49,7.06,3.55,3.13,3.09,3.11,6.82,6.65,6.77,7.72,8.16,8.55,8.61,9.12
출판·매체복제,0.8,0.68,1.22,3.09,2.03,1.39,1.31,1.07,0.89,0.74,0.73,0.66,0.72,98.28,97.75,175.29,61.72,65.21,39.17,36.86,162.36,135.14,113.03,111.2,28.19,30.48
통신,0.8,0.77,0.67,0.65,0.62,0.59,0.54,0.54,0.57,0.53,0.57,0.65,0.69,12.28,7.96,7.3,6.92,6.5,7.2,6.7,6.68,7.08,8.9,9.59,10.88,11.31
화학,1.82,1.41,1.29,1.43,1.38,1.12,1.18,1.12,1.05,0.93,0.79,0.73,0.59,23.53,13.09,12.63,13.74,14.28,17.94,16.12,17.05,13.9,22.3,18.9,17.54,14.18
